state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2024-10-28,2024-10-30
Baden-Württemberg,Herbst,2024-10-31,2024-10-31
Baden-Württemberg,Weihnachten,2024-12-23,2025-01-04
Baden-Württemberg,Ostern/Frühjahr,2025-04-14,2025-04-26
Baden-Württemberg,Himmelfahrt/Pfingsten,2025-06-10,2025-06-20
Baden-Württemberg,Sommer,2025-07-31,2025-09-13
Bayern,Herbst,2024-10-28,2024-10-31
Bayern,Weihnachten,2024-12-23,2025-03-01
Bayern,Ostern/Frühjahr,2025-03-03,2025-03-07
Bayern,Ostern/Frühjahr,2025-04-14,2025-04-25
Bayern,Himmelfahrt/Pfingsten,2025-06-10,2025-06-20
Bayern,Sommer,2025-08-01,2025-08-01
Bayern,Sommer,2025-08-04,2025-09-15
Berlin,Herbst,2024-10-04,2024-10-04
Berlin,Herbst,2024-10-21,2024-11-02
Berlin,Weihnachten,2024-12-23,2024-12-31
Berlin,Winter,2025-02-03,2025-02-08
Berlin,Ostern/Frühjahr,2025-04-14,2025-04-25
Berlin,Ostern/Frühjahr,2025-05-02,2025-05-02
Berlin,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Berlin,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Berlin,Sommer,2025-07-24,2025-09-06
Brandenburg,Herbst,2024-10-21,2024-11-02
Brandenburg,Weihnachten,2024-12-23,2024-12-31
Brandenburg,Winter,2025-02-03,2025-02-08
Brandenburg,Ostern/Frühjahr,2025-04-14,2025-04-25
Brandenburg,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Brandenburg,Sommer,2025-07-24,2025-09-06
Bremen,Herbst,2024-10-04,2024-10-19
Bremen,Herbst,2024-11-01,2024-11-01
Bremen,Weihnachten,2024-12-23,2025-01-04
Bremen,Winter,2025-02-03,2025-02-04
Bremen,Ostern/Frühjahr,2025-04-07,2025-04-19
Bremen,Ostern/Frühjahr,2025-04-30,2025-04-30
Bremen,Ostern/Frühjahr,2025-05-02,2025-05-02
Bremen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Bremen,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Bremen,Sommer,2025-07-03,2025-08-13
Hamburg,Herbst,2024-10-04,2024-10-04
Hamburg,Herbst,2024-10-21,2024-11-01
Hamburg,Weihnachten,2024-12-20,2025-01-03
Hamburg,Winter,2025-01-31,2025-01-31
Hamburg,Ostern/Frühjahr,2025-03-10,2025-03-21
Hamburg,Ostern/Frühjahr,2025-05-02,2025-05-02
Hamburg,Himmelfahrt/Pfingsten,2025-05-26,2025-05-30
Hamburg,Sommer,2025-07-24,2025-09-03
Hessen,Herbst,2024-10-14,2024-10-25
Hessen,Weihnachten,2024-12-23,2025-01-10
Hessen,Ostern/Frühjahr,2025-04-07,2025-04-21
Hessen,Sommer,2025-07-07,2025-08-15
Mecklenburg-Vorpommern,Herbst,2024-10-04,2024-10-04
Mecklenburg-Vorpommern,Herbst,2024-10-21,2024-10-26
Mecklenburg-Vorpommern,Herbst,2024-11-01,2024-11-01
Mecklenburg-Vorpommern,Weihnachten,2024-12-23,2025-01-06
Mecklenburg-Vorpommern,Winter,2025-02-03,2025-02-14
Mecklenburg-Vorpommern,Ostern/Frühjahr,2025-04-14,2025-04-23
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2025-06-06,2025-06-10
Mecklenburg-Vorpommern,Sommer,2025-07-28,2025-09-06
Niedersachsen,Herbst,2024-10-04,2024-10-19
Niedersachsen,Herbst,2024-11-01,2024-11-01
Niedersachsen,Weihnachten,2024-12-23,2025-01-04
Niedersachsen,Winter,2025-02-03,2025-02-04
Niedersachsen,Ostern/Frühjahr,2025-04-07,2025-04-19
Niedersachsen,Ostern/Frühjahr,2025-04-30,2025-04-30
Niedersachsen,Ostern/Frühjahr,2025-05-02,2025-05-02
Niedersachsen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Niedersachsen,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Niedersachsen,Sommer,2025-07-03,2025-08-13
Nordrhein-Westfalen,Herbst,2024-10-14,2024-10-26
Nordrhein-Westfalen,Weihnachten,2024-12-23,2025-01-06
Nordrhein-Westfalen,Ostern/Frühjahr,2025-04-14,2025-04-26
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Nordrhein-Westfalen,Sommer,2025-07-14,2025-08-26
Rheinland-Pfalz,Herbst,2024-10-14,2024-10-25
Rheinland-Pfalz,Weihnachten,2024-12-23,2025-01-08
Rheinland-Pfalz,Ostern/Frühjahr,2025-04-14,2025-04-25
Rheinland-Pfalz,Sommer,2025-07-07,2025-08-15
Saarland,Herbst,2024-10-14,2024-10-25
Saarland,Weihnachten,2024-12-23,2025-01-03
Saarland,Winter,2025-02-24,2025-03-04
Saarland,Ostern/Frühjahr,2025-04-14,2025-04-25
Saarland,Sommer,2025-07-07,2025-08-14
Sachsen,Herbst,2024-10-07,2024-10-19
Sachsen,Weihnachten,2024-12-23,2025-01-03
Sachsen,Winter,2025-02-17,2025-03-01
Sachsen,Ostern/Frühjahr,2025-04-18,2025-04-25
Sachsen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Sachsen,Sommer,2025-06-28,2025-08-08
Sachsen-Anhalt,Herbst,2024-09-30,2024-10-12
Sachsen-Anhalt,Herbst,2024-11-01,2024-11-01
Sachsen-Anhalt,Weihnachten,2024-12-23,2025-01-04
Sachsen-Anhalt,Winter,2025-01-27,2025-01-31
Sachsen-Anhalt,Ostern/Frühjahr,2025-04-07,2025-04-19
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Sachsen-Anhalt,Sommer,2025-06-28,2025-08-08
Schleswig-Holstein,Herbst,2024-10-21,2024-11-01
Schleswig-Holstein,Weihnachten,2024-12-19,2025-01-07
Schleswig-Holstein,Ostern/Frühjahr,2025-04-11,2025-04-25
Schleswig-Holstein,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Schleswig-Holstein,Sommer,2025-07-28,2025-09-06
Thüringen,Herbst,2024-09-30,2024-10-12
Thüringen,Weihnachten,2024-12-23,2025-01-03
Thüringen,Winter,2025-02-03,2025-02-08
Thüringen,Ostern/Frühjahr,2025-04-07,2025-04-19
Thüringen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Thüringen,Sommer,2025-06-28,2025-08-08
